place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
Franking,13,locality,linked,osm+geonames,48.05215,12.91168,1500,2779373,Franking,P.PPL,AT,04,Q669436,relation/404463,0.95,,
Isarkai,12,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Frauentürme,12,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rauhenstein,12,settlement,linked,osm,47.75491,10.24960,1000,,,,,,,node/519085396,0.85,,
Lech bei Augsburg,12,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Buchloe und Beckstetten,12,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ettingen,12,route,linked,osm+geonames,47.48225,7.54654,1500,2660849,Ettingen,P.PPL,CH,BL,Q70012,relation/1683646,0.95,entry context 2 km (100% of the entries),
Herzogstand,12,locality,linked,osm+geonames,47.61804,11.30622,500,2905439,Herzogstand,T.MT,DE,02,Q315270,node/71530342,0.95,entry context 4 km (50% of the entries),
Hintersteiner Tal,12,locality,linked,osm,47.46291,10.43090,5000,,,,,,Q124524886,way/657221291,0.95,entry context 6 km (67% of the entries),
Bauernwald,12,,linked,osm+geonames,48.63333,9.28333,1500,2952101,Bauernwald,V.FRST,DE,01,Q31906767,relation/214378,0.80,"far from most of the entries' other places (0% within 80 km, nearest 130 km)",
Bierdorf,12,locality,linked,osm+geonames,47.97118,11.09602,1500,2949104,Bierdorf,P.PPL,DE,02,Q27077707,relation/9033261,0.95,entry context 2 km (100% of the entries),
Fabrikspitz,12,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Riederau am Ammersee,12,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
